alpha,beta,theta,delta,gamma,result
26.511135567476323,8.548015779914984,27.726842575414924,-1.963345414101097,18.97879498045819,2
29.343583173058242,9.43839811711612,33.694709278842225,9.647634567961147,18.721114701283366,2
28.453950639611335,1.9330207319444574,27.99941464427622,8.537459059357296,16.221303178469178,2
35.436594939507415,3.193900213926517,25.14981474882697,9.517825415704415,23.33598415327984,2
26.106664436119132,36.277094433171136,13.95980742279834,22.14651220683412,9.08612057032781,4
30.40668778621198,31.348360535956033,9.808739054885933,18.552621196145388,6.325003362257902,3
17.41237076478054,26.031329231590632,9.411830444097328,17.032945823397966,6.616531804972685,3
10.037080310135941,8.449694356651321,10.246449784536772,8.714862621715136,7.840441713318437,4
10.037080310135941,8.449694356651321,10.246449784536772,8.714862621715136,7.840441713318437,4
13.916775722698324,17.29239184834165,12.857053662134751,15.490835957962783,5.454291619656263,4
13.916775722698324,17.29239184834165,12.857053662134751,15.490835957962783,5.454291619656263,4
19.799544860360406,17.97894573035181,26.08368871627425,14.401449986175004,18.265454098914805,4
10.872090583134757,22.725249916267714,13.023535513410748,17.31398615126326,5.894440614913427,4
10.872090583134757,22.725249916267714,13.023535513410748,17.31398615126326,5.894440614913427,4
6.88002954798239,29.377624723229733,10.926556985912054,20.23773602597593,5.435489721088251,4
6.990742957217284,15.2788925228582,6.466326353032052,2.2378771273161613,3.633245552133658,2
6.990742957217284,15.2788925228582,6.466326353032052,2.2378771273161613,3.633245552133658,4
6.990742957217284,15.2788925228582,6.466326353032052,2.2378771273161613,3.633245552133658,2
10.587866787058378,13.646917002192113,14.171951817240586,9.550606040488088,11.205018320519681,4
11.435363699251857,18.275613263694623,8.030798429827591,5.516788252107796,10.187980138572374,4
11.435363699251857,18.275613263694623,8.030798429827591,5.516788252107796,10.187980138572374,4
12.342699426431821,37.29096801738485,15.944664474577259,20.35479335561855,5.45955861714331,4
12.342699426431821,37.29096801738485,15.944664474577259,20.35479335561855,5.45955861714331,4
9.486414484245739,22.00689996411982,8.022775715906585,8.894461097767902,5.282885681453895,4
9.973322388826755,19.788080897074906,5.139968631058834,4.3194648261669055,-4.854522303926755,4
11.319965785900454,27.28465480156305,5.116853054768108,8.574446673235506,-2.492069944640957,4
14.159074283427412,18.97340200383897,6.221189161473101,0.39877195506135943,1.743631258365548,5
15.027207080794694,17.703008622325815,3.179920904733112,1.1549465379162291,5.055906746704689,5
11.436505552180321,18.590427378614375,4.040312178870614,1.6777221065279668,1.4700257260209892,5
22.104204158160236,-2.985782416224917,-1.7338091967495737,-2.9485600404278682,3.304782306811279,5
-0.28044415522709837,-4.1166829811704835,-0.8397705284345578,-7.093344605492899,3.8030783297404542,5
14.36855576322337,7.282642707365563,4.686480300996839,-2.8729330448226325,-1.1700412743089168,5
7.390315480834773,29.634851007475955,4.779539404865337,19.2207437166312,3.879172755912066,5
0.5623658674493431,8.466789208366677,7.4476319415051675,-4.283666158245655,-2.9299810318697297,5
5.089002922815267,-1.74528514419299,3.2447961870919966,2.315729484045274,8.110030729736737,5
2.958678855807121,-0.768966866919355,2.155824478532021,1.3765699331304628,7.477051252377444,5
15.983944715069015,5.399229014375266,15.48509510052214,8.448399808885739,7.898505777873938,5
8.81179265667295,3.394810723035497,6.884429512851467,1.2344005938281788,7.729810954089868,5
7.037983668294958,19.22242384088442,11.151502776527234,9.57963202206166,9.105873877769124,5
3.952812970275836,21.785064915569453,10.804512984940974,11.743978391571984,9.806509909373,5
3.952812970275836,21.785064915569453,10.804512984940974,11.743978391571984,9.806509909373,5
3.952812970275836,21.785064915569453,10.804512984940974,11.743978391571984,9.806509909373,5
17.77842558126076,-7.8389563512172,15.642139505138614,-8.645748374310868,14.600183232360878,5
-2.9116320665147324,1.7183316356215759,16.1944417986694,-7.4981013648549295,13.430225049246985,5
